Datetime,Cr_sum_disp_ext1,Cr_sum_disp_ext2,Air_Temp_roof,Air_Temp_facade,Cr_disp_ext1,Cr_disp_ext2
2019-04-15 00:00:00,12.0,13.0,31.939999999999998,31.939999999999998,0.0,0.0
2019-04-15 01:00:00,11.0,13.0,31.064999999999998,31.064999999999998,-1.0,0.0
2019-04-15 02:00:00,12.0,13.0,30.4,30.4,1.0,0.0
2019-04-15 03:00:00,12.0,13.0,29.729999999999997,29.729999999999997,0.0,0.0
2019-04-15 04:00:00,12.0,13.0,29.060000000000002,29.060000000000002,0.0,0.0
2019-04-15 05:00:00,13.0,12.0,28.39,28.39,1.0,-1.0
2019-04-15 06:00:00,14.0,12.0,27.435000000000002,27.435000000000002,1.0,0.0
2019-04-15 07:00:00,14.0,11.0,27.174999999999997,27.174999999999997,0.0,-1.0
2019-04-15 08:00:00,14.0,12.0,26.915,26.915,0.0,1.0
2019-04-15 09:00:00,14.0,11.0,26.655,26.655,0.0,-1.0
2019-04-15 10:00:00,14.0,11.0,26.395,26.395,0.0,0.0
2019-04-15 11:00:00,14.0,12.0,27.225,27.225,0.0,1.0
2019-04-15 12:00:00,13.0,11.0,28.94,28.94,-1.0,-1.0
2019-04-15 13:00:00,13.0,13.0,30.655,30.655,0.0,2.0
2019-04-15 14:00:00,13.0,12.0,32.37,32.37,0.0,-1.0
2019-04-15 15:00:00,13.0,13.0,34.09,34.09,0.0,1.0
2019-04-15 16:00:00,13.0,13.0,35.06999999999999,35.06999999999999,0.0,0.0
2019-04-15 17:00:00,13.0,11.0,34.415,34.415,0.0,-2.0
2019-04-15 18:00:00,13.0,12.0,33.755,33.755,0.0,1.0
2019-04-15 19:00:00,13.0,12.0,33.095,33.095,0.0,0.0
2019-04-15 20:00:00,12.0,13.0,32.435,32.435,-1.0,1.0
2019-04-15 21:00:00,13.0,13.0,31.17,31.17,1.0,0.0
2019-04-15 22:00:00,12.0,13.0,30.325,30.325,-1.0,0.0
2019-04-15 23:00:00,12.0,12.0,29.48,29.48,0.0,-1.0
2019-04-16 00:00:00,12.0,12.0,28.630000000000003,28.630000000000003,0.0,0.0
2019-04-16 01:00:00,12.0,12.0,27.785,27.785,0.0,0.0
2019-04-16 02:00:00,13.0,13.0,26.990000000000002,26.990000000000002,1.0,1.0
2019-04-16 03:00:00,13.0,13.0,26.295,26.295,0.0,0.0
2019-04-16 04:00:00,13.0,12.0,25.605,25.605,0.0,-1.0
2019-04-16 05:00:00,13.0,12.0,24.909999999999997,24.909999999999997,0.0,0.0
2019-04-16 06:00:00,13.0,12.0,24.215,24.215,0.0,0.0
2019-04-16 07:00:00,13.0,12.0,24.365000000000002,24.365000000000002,0.0,0.0
2019-04-16 08:00:00,13.0,11.0,25.64,25.64,0.0,-1.0
2019-04-16 09:00:00,13.0,11.0,26.91,26.91,0.0,0.0
2019-04-16 10:00:00,13.0,11.0,28.185000000000002,28.185000000000002,0.0,0.0
2019-04-16 11:00:00,14.0,11.0,29.46,29.46,1.0,0.0
2019-04-16 12:00:00,13.0,11.0,30.935000000000002,30.935000000000002,-1.0,0.0
2019-04-16 13:00:00,13.0,11.0,31.475,31.475,0.0,0.0
2019-04-16 14:00:00,13.0,11.0,32.015,32.015,0.0,0.0
2019-04-16 15:00:00,13.0,12.0,32.555,32.555,0.0,1.0
2019-04-16 16:00:00,12.0,12.0,33.095,33.095,-1.0,0.0
2019-04-16 17:00:00,12.0,12.0,31.54,31.54,0.0,0.0
2019-04-16 18:00:00,12.0,12.0,30.255,30.255,0.0,0.0
2019-04-16 19:00:00,12.0,12.0,28.97,28.97,0.0,0.0
2019-04-16 20:00:00,12.0,12.0,27.68,27.68,0.0,0.0
2019-04-16 21:00:00,12.0,12.0,26.395,26.395,0.0,0.0
2019-04-16 22:00:00,12.0,12.0,25.645,25.645,0.0,0.0
2019-04-16 23:00:00,11.0,13.0,25.135,25.135,-1.0,1.0
2019-04-17 00:00:00,11.0,13.0,24.625,24.625,0.0,0.0
2019-04-17 01:00:00,12.0,12.0,24.115,24.115,1.0,-1.0
2019-04-17 02:00:00,12.0,12.0,23.6,23.6,0.0,0.0
2019-04-17 03:00:00,12.0,12.0,23.23,23.23,0.0,0.0
2019-04-17 04:00:00,12.0,12.0,24.085,24.085,0.0,0.0
2019-04-17 05:00:00,12.0,12.0,24.945,24.945,0.0,0.0
2019-04-17 06:00:00,13.0,11.0,25.805,25.805,1.0,-1.0
2019-04-17 07:00:00,13.0,11.0,26.665,26.665,0.0,0.0
2019-04-17 08:00:00,12.0,11.0,27.825000000000003,27.825000000000003,-1.0,0.0
2019-04-17 09:00:00,13.0,11.0,29.009999999999998,29.009999999999998,1.0,0.0
2019-04-17 10:00:00,13.0,12.0,30.195,30.195,0.0,1.0
2019-04-17 11:00:00,13.0,11.5,31.384999999999998,31.384999999999998,0.0,-0.5
2019-04-17 12:00:00,12.0,12.0,32.57,32.57,-1.0,1.0
2019-04-17 13:00:00,12.0,11.0,32.04,32.04,0.0,-1.0
2019-04-17 14:00:00,12.0,12.0,31.064999999999998,31.064999999999998,0.0,1.0
2019-04-17 15:00:00,12.0,12.0,30.095,30.095,0.0,0.0
2019-04-17 16:00:00,12.0,12.0,29.119999999999997,29.119999999999997,0.0,0.0
2019-04-17 17:00:00,12.0,13.0,28.145,28.145,0.0,1.0
2019-04-17 18:00:00,12.0,13.0,27.495,27.495,0.0,0.0
2019-04-17 19:00:00,12.0,13.0,26.7,26.7,0.0,0.0
2019-04-17 20:00:00,12.0,12.0,25.9,25.9,0.0,-1.0
2019-04-17 21:00:00,11.0,13.0,25.1,25.1,-1.0,1.0
2019-04-17 22:00:00,11.0,13.0,24.3,24.3,0.0,0.0
2019-04-17 23:00:00,11.0,12.0,22.735,22.735,0.0,-1.0
2019-04-18 00:00:00,12.0,13.0,23.17,23.17,1.0,1.0
2019-04-18 01:00:00,11.0,13.0,23.605,23.605,-1.0,0.0
2019-04-18 02:00:00,12.0,12.0,24.04,24.04,1.0,-1.0
2019-04-18 03:00:00,12.0,12.0,24.48,24.48,0.0,0.0
2019-04-18 04:00:00,12.0,12.0,25.91,25.91,0.0,0.0
2019-04-18 05:00:00,12.0,12.0,27.79,27.79,0.0,0.0
2019-04-18 06:00:00,12.0,11.0,29.674999999999997,29.674999999999997,0.0,-1.0
2019-04-18 07:00:00,12.0,11.0,31.560000000000002,31.560000000000002,0.0,0.0
2019-04-18 08:00:00,13.0,11.0,33.445,33.445,1.0,0.0
2019-04-18 09:00:00,13.0,12.0,33.81,33.81,0.0,1.0
2019-04-18 10:00:00,12.0,12.0,33.004999999999995,33.004999999999995,-1.0,0.0
2019-04-18 11:00:00,12.0,12.0,32.195,32.195,0.0,0.0
2019-04-18 12:00:00,12.0,12.0,31.384999999999998,31.384999999999998,0.0,0.0
2019-04-18 13:00:00,12.0,12.0,30.575000000000003,30.575000000000003,0.0,0.0
2019-04-18 14:00:00,12.0,13.0,29.665,29.665,0.0,1.0
2019-04-18 15:00:00,12.0,13.0,28.845,28.845,0.0,0.0
2019-04-18 16:00:00,12.0,12.0,28.025,28.025,0.0,-1.0
2019-04-18 17:00:00,12.0,12.0,27.205,27.205,0.0,0.0
2019-04-18 18:00:00,12.0,12.0,26.384999999999998,26.384999999999998,0.0,0.0
2019-04-18 19:00:00,12.0,13.0,25.61,25.61,0.0,1.0
2019-04-18 20:00:00,11.0,13.0,25.17,25.17,-1.0,0.0
2019-04-18 21:00:00,11.0,13.0,24.73,24.73,0.0,0.0
2019-04-18 22:00:00,11.0,13.0,24.29,24.29,0.0,0.0
2019-04-18 23:00:00,10.0,13.0,23.85,23.85,-1.0,0.0
2019-04-19 00:00:00,10.0,13.0,24.560000000000002,24.560000000000002,0.0,0.0
2019-04-19 01:00:00,11.0,13.0,26.36,26.36,1.0,0.0
2019-04-19 02:00:00,12.0,13.0,28.16,28.16,1.0,0.0
2019-04-19 03:00:00,12.0,13.0,29.96,29.96,0.0,0.0
2019-04-19 04:00:00,12.0,13.0,31.759999999999998,31.759999999999998,0.0,0.0
2019-04-19 05:00:00,13.0,12.0,33.25,33.25,1.0,-1.0
2019-04-19 06:00:00,12.0,12.0,32.57,32.57,-1.0,0.0
2019-04-19 07:00:00,13.0,12.0,31.885,31.885,1.0,0.0
2019-04-19 08:00:00,12.0,12.0,31.200000000000003,31.200000000000003,-1.0,0.0
2019-04-19 09:00:00,13.0,12.0,30.515,30.515,1.0,0.0
2019-04-19 10:00:00,13.0,11.0,29.715,29.715,0.0,-1.0
2019-04-19 11:00:00,12.0,12.0,28.65,28.65,-1.0,1.0
2019-04-19 12:00:00,13.0,12.0,27.58,27.58,1.0,0.0
2019-04-19 13:00:00,12.0,12.0,26.509999999999998,26.509999999999998,-1.0,0.0
2019-04-19 14:00:00,12.0,12.0,25.44,25.44,0.0,0.0
2019-04-19 15:00:00,12.0,13.0,25.064999999999998,25.064999999999998,0.0,1.0
2019-04-19 16:00:00,12.0,12.0,24.6,24.6,0.0,-1.0
2019-04-19 17:00:00,12.0,12.0,24.134999999999998,24.134999999999998,0.0,0.0
2019-04-19 18:00:00,12.0,12.0,23.665,23.665,0.0,0.0
2019-04-19 19:00:00,12.0,12.0,23.2,23.2,0.0,0.0
2019-04-19 20:00:00,12.0,12.0,23.119999999999997,23.119999999999997,0.0,0.0
2019-04-19 21:00:00,12.0,12.0,24.245,24.245,0.0,0.0
2019-04-19 22:00:00,12.0,13.0,25.369999999999997,25.369999999999997,0.0,1.0
2019-04-19 23:00:00,12.0,13.0,26.5,26.5,0.0,0.0
2019-04-20 00:00:00,12.0,13.0,27.625,27.625,0.0,0.0
2019-04-20 01:00:00,12.0,13.0,29.155,29.155,0.0,0.0
2019-04-20 02:00:00,12.0,13.0,29.67,29.67,0.0,0.0
2019-04-20 03:00:00,12.0,13.0,30.185,30.185,0.0,0.0
2019-04-20 04:00:00,12.0,11.0,30.7,30.7,0.0,-2.0
2019-04-20 05:00:00,13.0,11.0,31.22,31.22,1.0,0.0
2019-04-20 06:00:00,13.0,12.0,29.205,29.205,0.0,1.0
2019-04-20 07:00:00,13.0,12.0,28.225,28.225,0.0,0.0
2019-04-20 08:00:00,13.0,12.0,27.244999999999997,27.244999999999997,0.0,0.0
2019-04-20 09:00:00,13.0,12.0,26.265,26.265,0.0,0.0
2019-04-20 10:00:00,12.0,12.0,25.285,25.285,-1.0,0.0
2019-04-20 11:00:00,12.0,13.0,24.744999999999997,24.744999999999997,0.0,1.0
2019-04-20 12:00:00,12.0,13.0,24.2,24.2,0.0,0.0
2019-04-20 13:00:00,12.0,12.0,23.65,23.65,0.0,-1.0
2019-04-20 14:00:00,12.0,12.0,23.1,23.1,0.0,0.0
2019-04-20 15:00:00,12.0,13.0,22.55,22.55,0.0,1.0
2019-04-20 16:00:00,12.0,13.0,21.924999999999997,21.924999999999997,0.0,0.0
2019-04-20 17:00:00,12.0,13.0,22.744999999999997,22.744999999999997,0.0,0.0
2019-04-20 18:00:00,12.0,13.0,23.564999999999998,23.564999999999998,0.0,0.0
2019-04-20 19:00:00,12.0,13.0,24.384999999999998,24.384999999999998,0.0,0.0
2019-04-20 20:00:00,11.0,17.0,25.205,25.205,-1.0,4.0
2019-04-20 21:00:00,11.0,17.0,26.795,26.795,0.0,0.0
2019-04-20 22:00:00,11.0,17.0,28.145,28.145,0.0,0.0
2019-04-20 23:00:00,11.0,17.0,29.494999999999997,29.494999999999997,0.0,0.0
2019-04-21 00:00:00,11.0,17.0,30.845,30.845,0.0,0.0
2019-04-21 01:00:00,12.0,17.0,32.2,32.2,1.0,0.0
2019-04-21 02:00:00,12.0,17.0,31.980000000000004,31.980000000000004,0.0,0.0
2019-04-21 03:00:00,12.0,17.0,30.82,30.82,0.0,0.0
2019-04-21 04:00:00,12.0,17.0,29.66,29.66,0.0,0.0
2019-04-21 05:00:00,12.0,16.0,28.5,28.5,0.0,-1.0
2019-04-21 06:00:00,12.0,17.0,27.34,27.34,0.0,1.0
2019-04-21 07:00:00,12.0,17.0,26.72,26.72,0.0,0.0
2019-04-21 08:00:00,12.0,17.0,26.119999999999997,26.119999999999997,0.0,0.0
2019-04-21 09:00:00,12.0,16.0,25.515,25.515,0.0,-1.0
2019-04-21 10:00:00,12.0,17.0,24.91,24.91,0.0,1.0
2019-04-21 11:00:00,12.0,17.0,24.305,24.305,0.0,0.0
2019-04-21 12:00:00,12.0,17.0,23.665,23.665,0.0,0.0
2019-04-21 13:00:00,12.0,17.0,23.325,23.325,0.0,0.0
2019-04-21 14:00:00,12.0,17.0,22.985,22.985,0.0,0.0
2019-04-21 15:00:00,12.0,17.0,22.645,22.645,0.0,0.0
2019-04-21 16:00:00,11.0,17.0,22.305,22.305,-1.0,0.0
2019-04-21 17:00:00,12.0,17.0,24.755,24.755,1.0,0.0
2019-04-21 18:00:00,12.0,17.0,26.189999999999998,26.189999999999998,0.0,0.0
2019-04-21 19:00:00,12.0,17.0,27.63,27.63,0.0,0.0
2019-04-21 20:00:00,11.0,17.0,29.07,29.07,-1.0,0.0
2019-04-21 21:00:00,11.0,17.0,30.509999999999998,30.509999999999998,0.0,0.0
2019-04-21 22:00:00,11.0,17.0,32.045,32.045,0.0,0.0
2019-04-21 23:00:00,11.0,17.0,31.465,31.465,0.0,0.0
2019-04-22 00:00:00,11.0,17.0,30.884999999999998,30.884999999999998,0.0,0.0
2019-04-22 01:00:00,11.0,17.0,30.305,30.305,0.0,0.0
2019-04-22 02:00:00,12.0,17.0,29.725,29.725,1.0,0.0
2019-04-22 03:00:00,12.0,17.0,29.095,29.095,0.0,0.0
2019-04-22 04:00:00,12.0,17.0,28.42,28.42,0.0,0.0
2019-04-22 05:00:00,12.0,17.0,27.740000000000002,27.740000000000002,0.0,0.0
2019-04-22 06:00:00,12.0,17.0,27.060000000000002,27.060000000000002,0.0,0.0
2019-04-22 07:00:00,13.0,17.0,26.380000000000003,26.380000000000003,1.0,0.0
2019-04-22 08:00:00,13.0,17.0,25.71,25.71,0.0,0.0
2019-04-22 09:00:00,12.0,17.0,25.145,25.145,-1.0,0.0
2019-04-22 10:00:00,12.0,17.0,24.58,24.58,0.0,0.0
2019-04-22 11:00:00,12.0,17.0,24.009999999999998,24.009999999999998,0.0,0.0
2019-04-22 12:00:00,12.0,17.0,23.445,23.445,0.0,0.0
2019-04-22 13:00:00,12.0,17.0,24.095,24.095,0.0,0.0
2019-04-22 14:00:00,12.0,17.0,25.835,25.835,0.0,0.0
2019-04-22 15:00:00,12.0,17.0,27.575000000000003,27.575000000000003,0.0,0.0
2019-04-22 16:00:00,12.0,17.0,29.314999999999998,29.314999999999998,0.0,0.0
2019-04-22 17:00:00,12.0,17.0,31.060000000000002,31.060000000000002,0.0,0.0
2019-04-22 18:00:00,12.0,17.0,32.705,32.705,0.0,0.0
2019-04-22 19:00:00,12.0,18.0,33.125,33.125,0.0,1.0
2019-04-22 20:00:00,12.0,17.0,33.545,33.545,0.0,-1.0
2019-04-22 21:00:00,12.0,17.0,33.965,33.965,0.0,0.0
2019-04-22 22:00:00,12.0,17.0,34.39,34.39,0.0,0.0
2019-04-22 23:00:00,12.0,18.0,32.144999999999996,32.144999999999996,0.0,1.0
2019-04-23 00:00:00,11.0,18.0,31.244999999999997,31.244999999999997,-1.0,0.0
2019-04-23 01:00:00,11.0,18.0,30.345,30.345,0.0,0.0
2019-04-23 02:00:00,12.0,17.0,29.445,29.445,1.0,-1.0
2019-04-23 03:00:00,12.0,17.0,28.54,28.54,0.0,0.0
2019-04-23 04:00:00,13.0,17.0,27.85,27.85,1.0,0.0
2019-04-23 05:00:00,12.0,17.0,27.195,27.195,-1.0,0.0
2019-04-23 06:00:00,12.0,17.0,26.54,26.54,0.0,0.0
2019-04-23 07:00:00,14.0,17.0,25.884999999999998,25.884999999999998,2.0,0.0
2019-04-23 08:00:00,14.0,17.0,25.225,25.225,0.0,0.0
2019-04-23 09:00:00,14.0,17.0,24.97,24.97,0.0,0.0
2019-04-23 10:00:00,14.0,17.0,26.384999999999998,26.384999999999998,0.0,0.0
2019-04-23 11:00:00,14.0,17.0,27.795,27.795,0.0,0.0
2019-04-23 12:00:00,14.0,17.0,29.21,29.21,0.0,0.0
2019-04-23 13:00:00,13.0,18.0,30.625,30.625,-1.0,1.0
2019-04-23 14:00:00,13.0,18.0,31.555,31.555,0.0,0.0
2019-04-23 15:00:00,13.0,17.0,32.79,32.79,0.0,-1.0
2019-04-23 16:00:00,14.0,18.0,34.025,34.025,1.0,1.0
2019-04-23 17:00:00,13.0,18.0,35.260000000000005,35.260000000000005,-1.0,0.0
2019-04-23 18:00:00,13.0,17.0,36.5,36.5,0.0,-1.0
2019-04-23 19:00:00,13.0,17.0,35.28,35.28,0.0,0.0
2019-04-23 20:00:00,13.0,18.0,34.235,34.235,0.0,1.0
2019-04-23 21:00:00,12.0,18.0,33.185,33.185,-1.0,0.0
2019-04-23 22:00:00,12.0,18.0,32.135,32.135,0.0,0.0
2019-04-23 23:00:00,12.0,17.0,31.085,31.085,0.0,-1.0
2019-04-24 00:00:00,12.0,17.0,30.43,30.43,0.0,0.0
2019-04-24 01:00:00,12.0,18.0,29.66,29.66,0.0,1.0
2019-04-24 02:00:00,12.0,17.0,28.89,28.89,0.0,-1.0
2019-04-24 03:00:00,12.0,18.0,28.119999999999997,28.119999999999997,0.0,1.0
2019-04-24 04:00:00,13.0,17.0,27.345,27.345,1.0,-1.0
2019-04-24 05:00:00,14.0,17.0,26.03,26.03,1.0,0.0
2019-04-24 06:00:00,14.0,17.0,26.845,26.845,0.0,0.0
2019-04-24 07:00:00,14.0,17.0,27.66,27.66,0.0,0.0
2019-04-24 08:00:00,14.0,17.0,28.475,28.475,0.0,0.0
2019-04-24 09:00:00,16.0,17.0,29.295,29.295,2.0,0.0
2019-04-24 10:00:00,16.0,17.0,30.189999999999998,30.189999999999998,0.0,0.0
2019-04-24 11:00:00,16.0,17.0,32.165,32.165,0.0,0.0
2019-04-24 12:00:00,15.0,17.0,34.14,34.14,-1.0,0.0
2019-04-24 13:00:00,16.0,16.0,36.114999999999995,36.114999999999995,1.0,-1.0
2019-04-24 14:00:00,15.0,17.0,38.095,38.095,-1.0,1.0
2019-04-24 15:00:00,14.0,17.0,37.305,37.305,-1.0,0.0
2019-04-24 16:00:00,14.0,17.0,36.245,36.245,0.0,0.0
2019-04-24 17:00:00,14.0,17.0,35.185,35.185,0.0,0.0
2019-04-24 18:00:00,14.0,17.0,34.125,34.125,0.0,0.0
2019-04-24 19:00:00,13.0,17.0,33.06,33.06,-1.0,0.0
2019-04-24 20:00:00,13.0,17.0,31.674999999999997,31.674999999999997,0.0,0.0
2019-04-24 21:00:00,13.0,17.0,31.055,31.055,0.0,0.0
2019-04-24 22:00:00,13.0,17.0,30.435000000000002,30.435000000000002,0.0,0.0
2019-04-24 23:00:00,13.0,17.0,29.814999999999998,29.814999999999998,0.0,0.0
2019-04-25 00:00:00,13.0,17.0,29.19,29.19,0.0,0.0
2019-04-25 01:00:00,13.0,17.0,28.565,28.565,0.0,0.0
2019-04-25 02:00:00,13.0,17.0,28.145,28.145,0.0,0.0
2019-04-25 03:00:00,13.0,17.0,27.725,27.725,0.0,0.0
2019-04-25 04:00:00,14.0,16.0,27.305,27.305,1.0,-1.0
2019-04-25 05:00:00,15.0,16.0,26.88,26.88,1.0,0.0
2019-04-25 06:00:00,16.0,15.0,29.18,29.18,1.0,-1.0
2019-04-25 07:00:00,16.0,14.0,31.5,31.5,0.0,-1.0
2019-04-25 08:00:00,16.0,15.0,33.82,33.82,0.0,1.0
2019-04-25 09:00:00,16.0,15.0,36.14,36.14,0.0,0.0
2019-04-25 10:00:00,16.0,14.0,38.465,38.465,0.0,-1.0
2019-04-25 11:00:00,16.0,14.0,38.915,38.915,0.0,0.0
2019-04-25 12:00:00,16.0,15.0,37.8,37.8,0.0,1.0
2019-04-25 13:00:00,16.0,15.0,36.68,36.68,0.0,0.0
2019-04-25 14:00:00,15.0,14.0,35.56,35.56,-1.0,-1.0
2019-04-25 15:00:00,16.0,14.0,34.44,34.44,1.0,0.0
2019-04-25 16:00:00,16.0,15.0,33.065,33.065,0.0,1.0
2019-04-25 17:00:00,15.0,15.0,32.230000000000004,32.230000000000004,-1.0,0.0
2019-04-25 18:00:00,15.0,15.0,31.39,31.39,0.0,0.0
2019-04-25 19:00:00,14.0,15.0,30.55,30.55,-1.0,0.0
2019-04-25 20:00:00,15.0,16.0,29.71,29.71,1.0,1.0
2019-04-25 21:00:00,14.0,16.0,29.479999999999997,29.479999999999997,-1.0,0.0
2019-04-25 22:00:00,14.0,16.0,28.880000000000003,28.880000000000003,0.0,0.0
2019-04-25 23:00:00,14.0,15.0,28.28,28.28,0.0,-1.0
2019-04-26 00:00:00,14.0,15.0,27.68,27.68,0.0,0.0
2019-04-26 01:00:00,14.0,16.0,27.075000000000003,27.075000000000003,0.0,1.0
2019-04-26 02:00:00,14.0,15.0,27.445,27.445,0.0,-1.0
2019-04-26 03:00:00,14.0,15.0,29.265,29.265,0.0,0.0
2019-04-26 04:00:00,15.0,15.0,31.085,31.085,1.0,0.0
2019-04-26 05:00:00,16.0,12.0,32.905,32.905,1.0,-3.0
2019-04-26 06:00:00,17.0,8.0,34.730000000000004,34.730000000000004,1.0,-4.0
2019-04-26 07:00:00,17.0,8.0,35.519999999999996,35.519999999999996,0.0,0.0
2019-04-26 08:00:00,16.0,9.0,35.120000000000005,35.120000000000005,-1.0,1.0
2019-04-26 09:00:00,16.0,9.0,34.72,34.72,0.0,0.0
2019-04-26 10:00:00,16.0,8.0,34.32,34.32,0.0,-1.0
2019-04-26 11:00:00,16.0,9.0,33.915000000000006,33.915000000000006,0.0,1.0
2019-04-26 12:00:00,16.0,9.0,33.055,33.055,0.0,0.0
2019-04-26 13:00:00,16.0,9.0,32.34,32.34,0.0,0.0
2019-04-26 14:00:00,16.0,9.0,31.63,31.63,0.0,0.0
2019-04-26 15:00:00,16.0,9.0,30.915,30.915,0.0,0.0
2019-04-26 16:00:00,16.0,9.0,30.2,30.2,0.0,0.0
2019-04-26 17:00:00,16.0,9.0,29.435000000000002,29.435000000000002,0.0,0.0
2019-04-26 18:00:00,16.0,9.0,28.8,28.8,0.0,0.0
2019-04-26 19:00:00,16.0,9.0,28.17,28.17,0.0,0.0
2019-04-26 20:00:00,15.0,9.0,27.535,27.535,-1.0,0.0
2019-04-26 21:00:00,15.0,9.0,26.9,26.9,0.0,0.0
2019-04-26 22:00:00,15.0,9.0,26.79,26.79,0.0,0.0
2019-04-26 23:00:00,15.0,9.0,28.549999999999997,28.549999999999997,0.0,0.0
2019-04-27 00:00:00,14.0,10.0,30.310000000000002,30.310000000000002,-1.0,1.0
2019-04-27 01:00:00,14.0,9.0,32.07,32.07,0.0,-1.0
2019-04-27 02:00:00,16.0,9.0,33.835,33.835,2.0,0.0
2019-04-27 03:00:00,16.0,9.0,36.68,36.68,0.0,0.0
2019-04-27 04:00:00,16.0,8.0,37.760000000000005,37.760000000000005,0.0,-1.0
2019-04-27 05:00:00,16.0,8.0,38.84,38.84,0.0,0.0
2019-04-27 06:00:00,16.0,7.0,39.92,39.92,0.0,-1.0
2019-04-27 07:00:00,16.0,8.0,41.0,41.0,0.0,1.0
2019-04-27 08:00:00,16.0,7.0,38.015,38.015,0.0,-1.0
2019-04-27 09:00:00,16.0,8.0,36.875,36.875,0.0,1.0
2019-04-27 10:00:00,16.0,7.0,35.735,35.735,0.0,-1.0
2019-04-27 11:00:00,16.0,7.0,34.595,34.595,0.0,0.0
2019-04-27 12:00:00,16.0,8.0,33.455,33.455,0.0,1.0
2019-04-27 13:00:00,16.0,8.0,32.705,32.705,0.0,0.0
2019-04-27 14:00:00,17.0,8.0,31.96,31.96,1.0,0.0
2019-04-27 15:00:00,17.0,7.0,31.21,31.21,0.0,-1.0
2019-04-27 16:00:00,16.0,8.0,30.46,30.46,-1.0,1.0
2019-04-27 17:00:00,16.0,8.0,29.71,29.71,0.0,0.0
2019-04-27 18:00:00,16.0,7.0,28.18,28.18,0.0,-1.0
2019-04-27 19:00:00,16.0,8.0,29.1,29.1,0.0,1.0
2019-04-27 20:00:00,15.0,8.0,30.02,30.02,-1.0,0.0
2019-04-27 21:00:00,15.0,8.0,30.94,30.94,0.0,0.0
2019-04-27 22:00:00,15.0,9.0,31.86,31.86,0.0,1.0
2019-04-27 23:00:00,16.0,8.0,31.705,31.705,1.0,-1.0
2019-04-28 00:00:00,15.0,9.0,33.445,33.445,-1.0,1.0
2019-04-28 01:00:00,15.0,9.0,35.185,35.185,0.0,0.0
2019-04-28 02:00:00,15.0,9.0,36.925,36.925,0.0,0.0
2019-04-28 03:00:00,16.0,8.0,38.67,38.67,1.0,-1.0
2019-04-28 04:00:00,16.0,8.0,38.95,38.95,0.0,0.0
2019-04-28 05:00:00,16.0,7.0,38.025,38.025,0.0,-1.0
2019-04-28 06:00:00,17.0,7.0,37.095,37.095,1.0,0.0
2019-04-28 07:00:00,17.0,4.0,36.165,36.165,0.0,-3.0
2019-04-28 08:00:00,17.0,1.0,35.235,35.235,0.0,-3.0
2019-04-28 09:00:00,19.0,-1.0,34.3,34.3,2.0,-2.0
2019-04-28 10:00:00,19.0,-6.0,33.485,33.485,0.0,-5.0
2019-04-28 11:00:00,19.0,-5.0,32.675,32.675,0.0,1.0
2019-04-28 12:00:00,18.0,-4.0,31.86,31.86,-1.0,1.0
2019-04-28 13:00:00,17.0,-4.0,31.045,31.045,-1.0,0.0
2019-04-28 14:00:00,16.0,-4.0,30.405,30.405,-1.0,0.0
2019-04-28 15:00:00,16.0,-4.0,30.020000000000003,30.020000000000003,0.0,0.0
2019-04-28 16:00:00,16.0,-4.0,29.630000000000003,29.630000000000003,0.0,0.0
2019-04-28 17:00:00,17.0,-3.0,29.240000000000002,29.240000000000002,1.0,1.0
2019-04-28 18:00:00,16.0,-4.0,28.85,28.85,-1.0,-1.0
2019-04-28 19:00:00,16.0,-4.0,32.655,32.655,0.0,0.0
2019-04-28 20:00:00,15.0,-3.0,34.595,34.595,-1.0,1.0
2019-04-28 21:00:00,16.0,-3.0,36.535,36.535,1.0,0.0
2019-04-28 22:00:00,15.0,-3.0,38.475,38.475,-1.0,0.0
2019-04-28 23:00:00,16.0,-3.0,40.42,40.42,1.0,0.0
2019-04-29 00:00:00,15.0,-3.0,42.084999999999994,42.084999999999994,-1.0,0.0
2019-04-29 01:00:00,16.0,-3.0,40.93,40.93,1.0,0.0
2019-04-29 02:00:00,16.0,-3.0,39.78,39.78,0.0,0.0
2019-04-29 03:00:00,16.0,-3.0,38.625,38.625,0.0,0.0
2019-04-29 04:00:00,16.0,-3.0,37.47,37.47,0.0,0.0
2019-04-29 05:00:00,16.0,-3.0,36.945,36.945,0.0,0.0
2019-04-29 06:00:00,17.0,-4.0,35.91,35.91,1.0,-1.0
2019-04-29 07:00:00,18.0,-3.0,34.875,34.875,1.0,1.0
2019-04-29 08:00:00,18.0,-3.0,33.84,33.84,0.0,0.0
2019-04-29 09:00:00,17.0,-4.0,32.8,32.8,-1.0,-1.0
2019-04-29 10:00:00,17.0,-3.0,31.564999999999998,31.564999999999998,0.0,1.0
2019-04-29 11:00:00,18.0,-3.0,31.009999999999998,31.009999999999998,1.0,0.0
2019-04-29 12:00:00,18.0,-4.0,30.46,30.46,0.0,-1.0
2019-04-29 13:00:00,18.0,-4.0,29.905,29.905,0.0,0.0
2019-04-29 14:00:00,16.0,-4.0,29.35,29.35,-2.0,0.0
2019-04-29 15:00:00,16.0,-4.0,30.47,30.47,0.0,0.0
2019-04-29 16:00:00,17.0,-3.0,33.16,33.16,1.0,1.0
2019-04-29 17:00:00,16.0,-3.0,35.85,35.85,-1.0,0.0
2019-04-29 18:00:00,17.0,-3.0,38.54,38.54,1.0,0.0
